subject	predicate	object	evidence_class
CL 0002396	HRA has_marker_component	HGNC 3619	HRA bn-57b35b75e29d57656316a1a612bb63e3
CL 0002396	HRA has_marker_component	HGNC 1662	HRA bn-57b35b75e29d57656316a1a612bb63e3
CL 0002396	HRA has_marker_component	HGNC 3613	HRA bn-57b35b75e29d57656316a1a612bb63e3
CL 0002396	HRA has_marker_component	HGNC 5414	HRA bn-57b35b75e29d57656316a1a612bb63e3
CL 0002396	HRA has_marker_component	HGNC 1628	HRA bn-57b35b75e29d57656316a1a612bb63e3
CL 0002396	HRA has_marker_component	HGNC 13378	HRA bn-57b35b75e29d57656316a1a612bb63e3
CL 0002396	HRA has_marker_component	HGNC 31713	HRA bn-57b35b75e29d57656316a1a612bb63e3
CL 0002396	HRA has_marker_component	HGNC 14189	HRA bn-57b35b75e29d57656316a1a612bb63e3
CL 0002396	HRA has_marker_component	HGNC 6342	HRA bn-57b35b75e29d57656316a1a612bb63e3
CL 0002396	HRA has_marker_component	HGNC 16642	HRA bn-57b35b75e29d57656316a1a612bb63e3
CL 0002396	HRA has_marker_component	HGNC 24149	HRA bn-57b35b75e29d57656316a1a612bb63e3
CL 0002396	HRA has_marker_component	HGNC 1667	HRA bn-57b35b75e29d57656316a1a612bb63e3
CL 0000796	HRA has_marker_component	HGNC 1685	HRA bn-4a395957caec94eedc6e98e12679c992
CL 0000796	HRA has_marker_component	HGNC 1695	HRA bn-4a395957caec94eedc6e98e12679c992
CL 0000796	HRA has_marker_component	HGNC 1639	HRA bn-4a395957caec94eedc6e98e12679c992
CL 0000796	HRA has_marker_component	HGNC 1676	HRA bn-4a395957caec94eedc6e98e12679c992
CL 0000796	HRA has_marker_component	HGNC 1706	HRA bn-4a395957caec94eedc6e98e12679c992
CL 0000796	HRA has_marker_component	HGNC 1673	HRA bn-4a395957caec94eedc6e98e12679c992
CL 1000223	HRA has_marker_component	HGNC 4027	HRA bn-f518fd257074adfe5ac911ff633e696a
CL 1000223	HRA has_marker_component	HGNC 1748	HRA bn-f518fd257074adfe5ac911ff633e696a
CL 1000223	HRA has_marker_component	HGNC 1929	HRA bn-f518fd257074adfe5ac911ff633e696a
CL 1000223	HRA has_marker_component	HGNC 11529	HRA bn-f518fd257074adfe5ac911ff633e696a
CL 1000223	HRA has_marker_component	HGNC 4605	HRA bn-f518fd257074adfe5ac911ff633e696a
CL 1000223	HRA has_marker_component	HGNC 738	HRA bn-f518fd257074adfe5ac911ff633e696a
CL 1000223	HRA has_marker_component	HGNC 3318	HRA bn-f518fd257074adfe5ac911ff633e696a
CL 1000223	HRA has_marker_component	HGNC 1437	HRA bn-f518fd257074adfe5ac911ff633e696a
CL 1000223	HRA has_marker_component	HGNC 8008	HRA bn-f518fd257074adfe5ac911ff633e696a
CL 1000223	HRA has_marker_component	HGNC 1757	HRA bn-f518fd257074adfe5ac911ff633e696a
CL 0017000	HRA has_marker_component	HGNC 4027	HRA bn-8de2f67ef65272c8b2708e13bd73bbd4
CL 0017000	HRA has_marker_component	HGNC 1748	HRA bn-8de2f67ef65272c8b2708e13bd73bbd4
CL 0017000	HRA has_marker_component	HGNC 3815	HRA bn-8de2f67ef65272c8b2708e13bd73bbd4
CL 0017000	HRA has_marker_component	HGNC 3318	HRA bn-8de2f67ef65272c8b2708e13bd73bbd4
CL 0017000	HRA has_marker_component	HGNC 2027	HRA bn-8de2f67ef65272c8b2708e13bd73bbd4
CL 0017000	HRA has_marker_component	HGNC 740	HRA bn-8de2f67ef65272c8b2708e13bd73bbd4
CL 0017000	HRA has_marker_component	HGNC 20657	HRA bn-8de2f67ef65272c8b2708e13bd73bbd4
CL 0017000	HRA has_marker_component	HGNC 1884	HRA bn-8de2f67ef65272c8b2708e13bd73bbd4
CL 0017000	HRA has_marker_component	HGNC 11529	HRA bn-8de2f67ef65272c8b2708e13bd73bbd4
CL 0017000	HRA has_marker_component	HGNC 16512	HRA bn-8de2f67ef65272c8b2708e13bd73bbd4
PCL 0015109	HRA has_marker_component	HGNC 48682	HRA bn-2617862ebdb8264be1b6d9cacd5bb480
PCL 0015109	HRA has_marker_component	HGNC 8739	HRA bn-2617862ebdb8264be1b6d9cacd5bb480
CL 0009083	HRA has_marker_component	HGNC 1674	HRA bn-fcd1ad76de6bfd87873484afe61a13e8
CL 0009083	HRA has_marker_component	HGNC 21290	HRA bn-fcd1ad76de6bfd87873484afe61a13e8
CL 0009083	HRA has_marker_component	HGNC 1699	HRA bn-fcd1ad76de6bfd87873484afe61a13e8
CL 0009083	HRA has_marker_component	HGNC 7154	HRA bn-fcd1ad76de6bfd87873484afe61a13e8
CL 0009083	HRA has_marker_component	HGNC 11639	HRA bn-fcd1ad76de6bfd87873484afe61a13e8
CL 0009083	HRA has_marker_component	HGNC 1685	HRA bn-fcd1ad76de6bfd87873484afe61a13e8
CL 0009083	HRA has_marker_component	HGNC 9832	HRA bn-fcd1ad76de6bfd87873484afe61a13e8
CL 0009083	HRA has_marker_component	HGNC 1634	HRA bn-fcd1ad76de6bfd87873484afe61a13e8
CL 0009083	HRA has_marker_component	HGNC 13222	HRA bn-fcd1ad76de6bfd87873484afe61a13e8
CL 0009083	HRA has_marker_component	HGNC 1695	HRA bn-fcd1ad76de6bfd87873484afe61a13e8
CL 0009083	HRA has_marker_component	HGNC 2983	HRA bn-fcd1ad76de6bfd87873484afe61a13e8
PCL 0015068	HRA has_marker_component	HGNC 7727	HRA bn-c1baa2f51a5f8b54597e81a62f7513d8
PCL 0015068	HRA has_marker_component	HGNC 11517	HRA bn-c1baa2f51a5f8b54597e81a62f7513d8
PCL 0015068	HRA has_marker_component	HGNC 26545	HRA bn-c1baa2f51a5f8b54597e81a62f7513d8
CL 0001058	HRA has_marker_component	HGNC 6012	HRA bn-cf7188291dfad73b702afea1be97af63
CL 0001058	HRA has_marker_component	HGNC 3619	HRA bn-cf7188291dfad73b702afea1be97af63
CL 0001058	HRA has_marker_component	HGNC 13258	HRA bn-cf7188291dfad73b702afea1be97af63
CL 0001058	HRA has_marker_component	HGNC 6152	HRA bn-cf7188291dfad73b702afea1be97af63
CL 0001058	HRA has_marker_component	HGNC 8824	HRA bn-cf7188291dfad73b702afea1be97af63
CL 0001058	HRA has_marker_component	HGNC 1674	HRA bn-cf7188291dfad73b702afea1be97af63
CL 0001058	HRA has_marker_component	HGNC 5713	HRA bn-cf7188291dfad73b702afea1be97af63
CL 0001058	HRA has_marker_component	HGNC 1633	HRA bn-cf7188291dfad73b702afea1be97af63
CL 0001058	HRA has_marker_component	HGNC 7656	HRA bn-cf7188291dfad73b702afea1be97af63
CL 0001058	HRA has_marker_component	HGNC 1628	HRA bn-cf7188291dfad73b702afea1be97af63
CL 0001058	HRA has_marker_component	HGNC 4709	HRA bn-cf7188291dfad73b702afea1be97af63
HRA temp-fibroblast	HRA has_marker_component	HGNC 2705	HRA bn-aa4ac114b285ba2b697316d09ba180be
HRA temp-url309	HRA has_marker_component	HGNC 14638	HRA bn-46142b15f2680c98059b11cf0c192487
HRA temp-msn217	HRA has_marker_component	HGNC 32696	HRA bn-c189445cabe3e2151e673b565936766c
HRA temp-msn217	HRA has_marker_component	HGNC 8831	HRA bn-c189445cabe3e2151e673b565936766c
HRA temp-splat363	HRA has_marker_component	HGNC 23317	HRA bn-aa6a5e4d5d7617277838cfb610e9f63c
HRA temp-splat363	HRA has_marker_component	HGNC 44222	HRA bn-aa6a5e4d5d7617277838cfb610e9f63c
HRA temp-splat363	HRA has_marker_component	HGNC 19090	HRA bn-aa6a5e4d5d7617277838cfb610e9f63c
CL 0000097	HRA has_marker_component	HGNC 6342	HRA bn-1b9f57790f1377fbc8e5cbaa258a0d98
CL 0000097	HRA has_marker_component	HGNC 10922	HRA bn-1b9f57790f1377fbc8e5cbaa258a0d98
HRA temp-splat410	HRA has_marker_component	HGNC 894	HRA bn-9d3c549359cf9b12e5aee5c0edda3615
CL 4033018	HRA has_marker_component	HGNC 6138	HRA bn-321c539c47185ce4390148c4354d537f
CL 4033018	HRA has_marker_component	HGNC 6156	HRA bn-321c539c47185ce4390148c4354d537f
CL 4033018	HRA has_marker_component	HGNC 8861	HRA bn-321c539c47185ce4390148c4354d537f
CL 4033018	HRA has_marker_component	HGNC 4439	HRA bn-321c539c47185ce4390148c4354d537f
CL 4033033	HRA has_marker_component	HGNC 9937	HRA bn-b8808577d275f06da539baae0e89124
CL 4033033	HRA has_marker_component	HGNC 26483	HRA bn-b8808577d275f06da539baae0e89124
HRA temp-splat357	HRA has_marker_component	HGNC 6551	HRA bn-1499c98f7b9f1f3272a38f2f97a994b6
HRA temp-splat357	HRA has_marker_component	HGNC 11743	HRA bn-1499c98f7b9f1f3272a38f2f97a994b6
HRA temp-splat357	HRA has_marker_component	HGNC 3341	HRA bn-1499c98f7b9f1f3272a38f2f97a994b6
HRA temp-dlct6b102	HRA has_marker_component	HGNC 14632	HRA bn-8753eb11b85d41c04cd80f6425ecfe86
HRA temp-dlct6b102	HRA has_marker_component	HGNC 52626	HRA bn-8753eb11b85d41c04cd80f6425ecfe86
